Year,Month,Day,Intensity,Start,Peak Time,End,Event #,Max Drop,Lat,Lon,dist.R,AR#,Count,Flare
Year,Month,Day,intensity,start, peak,end,event #,max_drop,lat,lon,dist.R,AR#,count,flare
2016,2,19,-109,3:12,3:16,3:44,8891,229,,,1.06,,25,B5
2016,2,18,-188,22:32,22:46,23:22,8890,60,-42,-72,0.96,,34,
2016,2,14,-46,19:32,19:34,19:58,8889,50,11,38,0.67,AR 2497,22,M1
2016,2,14,-30,10:04,10:04,10:28,8888,48,,,1.14,,21,C5
2016,2,14,-27,3:24,3:24,3:52,8887,36,,,1.12,,23,B6
2016,2,13,-44,22:16,22:18,22:46,8886,91,,,1.13,,24,B5
2016,2,13,-4,21:04,21:04,21:30,8885,13,,,,AR 2498,22,C3
2016,2,13,-2,15:34,15:34,16:02,8884,3,,,,AR 2498,23,M2
2016,2,12,-11,22:46,22:48,23:16,8883,41,,,,AR 2497,24,C4
2016,2,12,-56,17:22,17:32,17:58,8882,89,7,20,0.41,AR 2497,27,C6
2016,2,12,-22,10:50,10:50,11:14,8881,41,7,19,0.39,AR 2497,21,C5
2016,2,12,-158,6:38,6:42,7:12,8880,249,20,67,0.95,AR 2492,26,C1
2016,2,11,-4,22:18,22:22,22:46,8879,5,15,15,0.44,AR 2496,23,
2016,2,11,-690,20:32,20:44,21:46,8878,345,11,12,0.36,AR 2497,45,C9
2016,2,11,-36,19:46,19:46,20:12,8877,22,,,,AR 2497,22,
2016,2,10,-5,22:46,22:46,23:10,8876,10,,,,AR 2496,21,
2016,2, 9,-380,5:34,6:22,7:14,8875,100,0,39,0.64,AR 2494,59,
2016,2, 8,-93,16:34,16:34,17:02,8874,58,15,16,0.46,AR 2492,23,
2016,2, 8,-99,5:36,6:00,6:00,8873,93,-17,28,0.5,AR 2494,21,C1
2016,2, 7,-3,12:50,12:52,13:16,8872,7,,,,AR 2492,22,
2016,2, 7,-205,11:54,12:04,12:36,8871,246,19,-40,0.74,AR 2497,30,C2
2016,2, 6,-52,22:52,22:58,23:26,8870,49,-15,16,0.32,AR 2494,26,B8
2016,2, 6,-54,16:08,16:08,16:32,8869,49,-14,9,0.2,AR 2494,21,
2016,2, 6,-165,3:04,3:06,3:38,8868,136,-9,4,0.09,AR 2494,26,
2016,2, 5,-59,23:48,23:48,0:14,8867,34,-5,-1,0.03,AR 2491,22,
2016,2, 5,-69,20:12,20:12,20:40,8866,74,-16,0,0.17,AR 2494,23,
2016,2, 5,-136,19:22,19:26,19:56,8865,168,-2,-4,0.1,AR 2491,26,
2016,2, 5,-6,8:00,8:00,8:26,8864,28,-9,-4,0.09,AR 2494,22,B4
2016,2, 4,-55,18:34,18:36,19:06,8863,35,-8,-13,0.22,AR 2491,25,C6
2016,2, 4,-12,17:00,17:00,17:24,8862,14,,,,AR 2491,21,C1
2016,2, 4,-133,6:50,6:58,7:26,8861,79,-9,33,0.54,AR 2493,27,B7
2016,2, 3,-140,22:20,22:22,22:54,8860,131,-8,33,0.54,AR 2490,26,B8
2016,2, 2,-22,14:36,14:38,15:04,8859,77,0,-46,0.73,AR 2491,23,
2016,2, 1,-176,17:18,17:18,17:58,8858,111,3,-15,0.31,,29,
2016,1,29,-650,20:58,21:06,22:06,8857,342,,,1.01,,42,
2016,1,26,-351,17:08,17:30,18:42,8856,121,-30,23,0.55,AR 2487,56,
2016,1,21,-21,14:30,14:30,14:58,8855,14,,,,,23,
2016,1,21,-125,13:32,13:36,14:04,8854,120,-12,-31,0.53,AR 2487,25,C2
2016,1,16,-55,4:54,4:56,5:22,8853,31,8,21,0.42,,23,
2016,1,15,-2,22:08,22:08,22:34,8852,4,,,,,22,B6
